Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga Hybrid,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i4,BMW i8,BMW iX,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,4
75862,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,5
75901,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,8,3,1,3,,,1,,,,,,,,,,,,,,30
75904,,,,,,,,,,,,,,,,,,,1,,,,4,,3,,,,,,,,,,,1,1,,,,,,,,,,,,2,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,1,,,,,,,5,5,1,2,,,1,,1,,,,,,,,,,,,33
75925,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5
75926,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2
75931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
75932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3
75935,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,3
75937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
75938,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3
75941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,4
75943,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75946,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3
75949,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
75951,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,1,1,,,,,,,,,,,,,,17
75954,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
75961,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,1,,,,,,,,,,,,,,9
75964,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2,,,2,,1,2,,,,,,,,,,,1,,,13
75965,,,,,,,,,,,,,,2,,,,,,,,,1,,4,1,,,,,,2,,,,2,1,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,5,2,2,4,,,1,,1,,,,,,,,1,,,,35
75966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
75968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,2
75974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
75975,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3
75980,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2
76001,,,,1,,,,,,2,,,,1,,1,,,3,1,2,,8,,8,,,,,1,,2,,,,3,,,,,,2,,,,,,,,,,4,,,2,,,,1,,,,,,,,,,,,,,1,,,,,9,,,,,,,,,,,33,9,5,23,,,3,,1,,,,,,,,,,,,126
76002,,,,2,,,,,,2,1,,1,,,1,,,1,,,,5,,10,2,,,,,,1,,,1,3,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,1,,,,6,,,1,,1,1,1,,,,44,4,3,19,,,4,,1,,1,,,,,,,,,,124
76004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
76005,,,,,,,1,,,,2,,,1,,2,,1,,,1,,3,,2,3,,,,,,,,,,1,1,,,1,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,1,,4,1,,,,,,,,,,56,19,6,33,,,1,,2,1,1,,1,,,2,,,,,151
76006,,,,,,,1,,,2,,,,3,,2,,,1,,,,4,,5,3,,,,,,1,1,,,3,3,,,,,2,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,3,,,,,1,,,,,,34,13,8,12,,1,1,,,,1,,,,,,,,,,108
76008,2,,,1,,3,1,,,,1,,,1,,,,2,3,,,,2,1,8,6,,,,1,,,1,,,4,2,,,1,,3,,,,,,,,,1,2,,4,,1,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,49,24,5,26,,,3,,1,1,2,,,,,1,,4,,,171
76009,,,,,,,,,,1,,,,,,1,,,,,,,2,,4,,,,,,,2,,,,2,,,,,,,,,,,,,,,,1,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,3,2,3,,,1,,,,,,,,,,,,,,35
76010,,,,,,,,,,,1,,2,,,1,,,1,,,,,1,3,2,,,,,,1,,,,1,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,14,7,3,6,,,2,,1,,,,,,,,,,,,55
76011,,,,,,,,,,,1,,,,1,,,,,,,,1,,8,,,,,1,,,,,,3,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,15,5,4,3,,,1,,,,,,,,,,,,,,50
76012,1,,,,,1,,,,,3,,5,3,,1,,2,2,1,1,1,5,1,8,,,,,1,,3,,,,7,2,,,,,3,,,,,,,,,,5,,1,2,,,,,,,,,,,1,1,,,,,,,1,,,,7,,,,,1,,,,,,34,18,6,11,,,3,,2,1,2,,,,,,1,1,,,149
76013,,,,,,,,,,1,1,,2,5,,,,,2,,,,9,2,5,,,,,3,,2,,,1,2,1,,,,,1,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,1,,,,,,,1,,,4,1,,1,,1,,,,,,22,9,4,10,,,2,,2,,2,,,,,1,,,,,102
76014,,,,,,,,,,,,,,2,,,,,,,,,4,,5,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,12,2,1,4,,1,1,,,,,,,,,,,,,,40
76015,,,,,,1,,,,,,,,,,1,,,,,,,3,,2,1,,,,1,,1,,,,1,2,,,,,1,,,,,,,,,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,9,2,1,5,,,1,,,,,,,,,,,,,,41
76016,1,,,,,,,,,2,2,,,1,,,,1,2,,1,,6,1,18,1,,,,4,,1,,,,4,5,,,,,,,1,,,,,1,,2,,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,8,,,,,3,,2,,,,39,25,3,23,,,7,,1,1,1,,,,,2,,1,,,174
76017,2,,,,,,1,,,3,1,,1,1,,,,,2,,1,,3,,13,5,,,,2,,4,,,,6,3,,,,,1,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,1,,8,,,,1,2,,,,,,34,14,6,13,,,3,,1,1,,,,,,,1,,,,138
76018,,,,,,,,,,1,1,,,,,,,,,,,,1,1,10,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,22,6,2,8,,,1,,,,,,,,,,,,,,64
76019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76020,,,,,,,,,,,,,,4,,,,,1,,,,1,,8,1,,,,1,,1,,,,3,2,,,,,,,,,,,,,,,2,,1,,,,1,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,12,8,5,11,,,2,,,,2,,,,,,,1,,,71
76021,,,1,1,,1,2,,,3,2,,2,4,,,,,1,,,,10,1,16,2,,,,2,,2,,,1,2,,,,,,3,,1,,,,,,,,5,,1,,1,1,,,,,,,,,,,,,,,,1,1,1,1,,13,1,,,,,,1,,,,48,16,4,22,,1,2,,3,,1,,,,,,1,,,,182
76022,,,,,,,,,,,2,,,,,,,1,2,,,,1,,6,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,7,,,,,1,1,,,,,7,2,,,,,3,,,,,,,,,,,,,,38
76023,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,12
76025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
76028,,,,,,,,,,2,,,3,2,,2,,,,,,,5,,15,3,,,,3,,2,1,,,6,2,,1,1,,4,,,,,,,,,1,9,1,3,1,2,,,,,3,,,,,,,2,,1,,,1,,1,1,,8,1,1,1,1,2,1,,,,,89,23,12,26,,1,4,,,1,2,,,1,,,1,1,,,254
76031,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,1,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,3,1,1,2,,,2,,,,,,,,,,,,,,21
76033,,,,,,,,,,,,,,1,,,,,,,,,1,,4,1,,,,,,1,,,,1,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,12,5,,2,,,,,,,,,,,,,,1,,,36
76034,,,,5,2,4,1,,,2,8,1,4,6,,1,,,6,,,,5,,11,2,,,,1,,4,,,,5,7,,,,,6,,1,,1,,,,,2,14,,,1,1,,,,1,,,,,1,,1,1,1,,,,1,1,,1,,8,2,,2,4,12,,,,,,128,87,47,81,,,2,,2,,,,,,,,,3,,,487
76035,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,11
76036,,,,,,,,,,,1,,,1,,,,,1,,,,1,,12,,,,,2,,2,,,,3,1,,,1,,1,,,,,,,,,,3,,,1,,,,1,,,,,,,,,1,,,,,,,1,,,3,,,,,1,,,,,,28,8,3,12,,,3,,,,,,,,,2,,,,,93
76039,,,,1,,,,,,2,,1,4,4,,,,,1,,1,,7,4,10,2,,,,,,4,,,,7,2,,,,,3,,,,,,,1,,,4,,,1,,,,,,2,,,,,,1,,,,,,,2,,,,12,,,,,,,,,,,60,18,6,27,,2,5,,1,1,1,,,,,1,,1,,,199
76040,,,,,,,,,,1,,,,2,,3,,,,1,,,3,,9,3,,,,1,,4,,,,2,2,,,,,3,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,3,1,,,1,,,1,,,,41,4,,11,,,2,,1,,1,,,,,,,,,,105
76041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
76043,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,2,1,2,,1,,,,,,,,,,,,,,,17
76044,,,,,,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,3,2,,4,,,,,,,,,,,,,,2,,,24
76048,2,1,,,,,1,,,,1,,,1,,,,,1,,1,,2,,4,2,,,,,,2,,,,5,1,,,,,2,,,,,,,,,,4,,4,1,,,,,,1,,,,,,,,,,,,,,,,,2,,,1,,1,,,,,,14,8,1,5,,,2,,,,,,,,,1,,,,,71
76049,2,,,1,,,2,,,1,,,1,2,,,,1,4,,1,,2,,4,2,,,,2,,1,,,,5,2,,,,,1,,,,,1,,1,,,7,,3,1,2,,,,,1,1,,,,,,2,,,,,1,,,,,3,,,,,,,1,,,,23,10,4,14,,,2,,1,,,,,,,1,,2,,,115
76050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,1,,,1,,1,,,,,,,,,,,,13
76051,2,,,4,,1,2,,,4,4,,4,4,,1,,3,4,1,2,2,26,,28,3,,,,3,,4,2,,,13,8,,,,,1,,3,1,,1,,,,,6,,,4,,,,,,2,,,,,,,,,,,,,1,,1,,19,2,,5,2,,,,,,3,137,45,19,60,1,2,4,,4,,6,,,,,2,2,3,,,461
76052,,,,,,,1,,,,6,,1,3,,1,,,3,,2,,2,,15,4,,,,3,,3,,,,7,10,,,1,,1,,1,,1,,,,,,5,,1,4,1,,,2,,,,,,,,,,,,,,1,1,,1,,8,,,,1,1,,1,,,,59,21,6,42,,1,3,,3,1,4,,,,,,1,2,,,235
76053,,,,,,1,,,,1,1,,,2,,,,,,,,,3,,6,,,,,2,,1,,,,1,1,,,,,,,,,,,,,,,2,,1,,3,,,,,,,,,,,,,,,,,1,,,1,,6,,,,,1,,,,,,18,4,2,7,,,2,,,,1,,,,,,,,,,68
76054,,,,,,,,,,1,,,2,4,,,,,,,,,4,,5,1,,,,1,,2,,,1,2,1,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,1,,,,,,20,7,2,10,,,,,,,,,,,,1,1,,,,80
76055,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,6
76058,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,1,,1,,,,4,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,8,2,,3,,,,,,,,,,,,,,,,,32
76059,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,7
76060,,,,,,,,,,1,,,,,,,,,1,,,1,2,,2,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,8,9,2,9,,,3,,1,,,,,,,,,1,,,45
76061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
76062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76063,,,,2,,3,2,,,1,2,,1,4,,2,,,4,,1,,3,1,14,3,,,,2,1,5,,,1,11,15,,,,,5,,,,,,,,,1,3,1,1,,1,,,1,,2,,,,,4,,,,,,,2,,,,,12,1,,,1,6,,,,,,93,34,23,51,,,4,,3,2,3,,2,,,2,,4,,,340
76064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
76065,,,,1,,,,,,3,3,,,1,1,2,,1,,,1,,6,2,10,2,,,,,,2,1,,,7,3,,,,,2,,2,,,,,,,,7,,2,2,,,,1,,,,,,,,,,,,,,,,,2,,8,1,,2,,1,,,,,,41,19,13,21,,,5,,3,,5,,1,,,,,2,,,186
76066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3
76067,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,,,13
76068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
76070,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
76071,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,,,,,,,,,,,,,,,,9
76073,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,6
76077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
76078,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,6,1,,1,,,,,,,,,,,,,,,,,19
76082,,,,,,,,,,,1,,,1,,1,,,,,,1,1,,3,1,,,,,,,,,,2,,,,,,1,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,7,2,1,,,1,1,,,1,,,,,,,,1,,,32
76084,,,,,,,,,,,,,1,,,,,,,,,,2,,2,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,11,5,2,2,,,1,,,,1,,,,,,,,,,36
76085,,,,,,,,,,,,,,,,1,,1,,,,,1,,4,,,,,,,1,,,,2,,,,,,,,,,1,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,6,3,,3,,,3,,1,,,,,,,,,,,,34
76086,,,,,,,,,,,,,,,,,,,1,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,7,2,1,1,,,2,,,,,,,,,,,,,,25
76087,,1,,,,,,,,,2,,1,2,,,,,,1,,,2,,7,5,,,,1,,,,,,3,2,,,,,4,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,5,,3,,1,,,,23,12,5,18,,1,4,,,,1,,,,,,,1,,,110
76088,,,,,,,,,,1,,,,,,,,,,,1,,2,,7,2,,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,9,4,,3,,,2,,,,,,,,,,1,,,,40
76089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76092,2,,,13,1,3,4,,,3,9,,3,7,,6,1,3,14,,1,,8,,19,10,,,,1,1,3,,,,5,18,,,,,4,,,,,,,,,2,12,,,,,,1,,,8,,,,1,1,1,,1,1,,,1,,,2,,12,2,,8,8,36,1,,,,,233,166,89,130,,4,8,,1,2,1,,,,,,3,7,,,881
76093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
76096,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
76102,,,,4,,1,1,,,,4,,,2,,2,,,1,,,,5,,2,,,,,,,1,,,,1,3,,,,,,,,,,,,,,1,15,,,,,,,,,1,,,,,1,,,,,,,,1,,,6,2,,,4,,9,,3,,,,53,26,9,22,,1,1,,,,,,1,,,1,,2,,,186
