Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler Plug In,Karma Revero,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Workhorse E-GEN Van,Grand Total
76015,,,,,,1,,,,,,,,,1,,,,,,3,,2,1,,,,1,,1,,,1,2,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,9,,1,4,,,1,,,,,,,,,,,,36
76016,1,,,,,,,,,2,2,,,2,,1,2,,,,6,1,17,1,,,,4,,1,,,5,3,,,,,,,,,,,1,,1,,,2,,,,,,,,,,1,,,,,,,,,,,,,9,,,,,3,,1,,,35,28,4,18,,,7,,1,1,1,,,,1,,1,,163
76017,1,,,1,,,,,,3,,,1,1,,,2,,1,,3,,13,4,,,,2,,5,,,6,3,,,,,2,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,1,,7,,,,1,2,,,,,31,12,5,9,,,3,,1,1,,,,,,,,,125
76018,,,,,,,,,,,1,,,1,1,,,,,,1,1,10,3,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,20,6,2,8,,,1,,,,,,,,,,,,64
76019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76020,,,,,,,,,,1,,,,4,,,1,,,,,,6,1,,,,1,,1,,,3,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,11,5,4,8,,,2,,,,1,,,,,,,,55
76021,,,1,1,,1,,,,2,2,,1,4,,,1,,,,10,1,16,3,,,,2,,2,,1,1,,,,,,3,,,,,,,,,3,,,1,1,,,,,,,,,,,,,,,,,1,1,,,14,,,,,,,1,,,48,14,4,21,,1,2,,2,,1,,,,,1,,,168
76022,,,,,,,,,,,1,,,,,,2,,,,1,,6,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,1,,,,5,1,,,,,3,,,,,,,,,,,,31
76023,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,8
76025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2
76028,,,,,,,,,,2,1,,3,2,3,,,,,,5,,13,3,,,,3,,2,1,,5,3,,1,1,,4,,,,,,,,,5,1,1,1,,,,,3,,,,,,,1,,1,,,1,,1,1,,8,,1,1,1,1,,,,,82,21,12,21,,1,4,,,1,1,,1,,,1,1,,226
76031,,,,,,,,,,,,,1,,,,1,,,,,,2,1,,,,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,3,2,1,2,,,1,,,,,,,,,,,,22
76033,,,,,,,,,,,,,,2,,,,,,,,,4,1,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,10,5,,2,,,,,,,,,,,,,1,,31
76034,,,,3,1,5,,,,1,6,1,3,5,2,,8,,,,6,,11,2,,,,2,,4,,,5,5,,,,,6,,,1,,,,,,13,,1,,,,,1,,,,,1,,,,,,,,1,1,,1,,8,1,,2,3,10,,,,,125,87,45,64,,,2,,2,,,,,,,,1,,446
76035,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,8
76036,,,,,,,,,,,1,,,1,,,1,,,,2,,11,,,,,2,,1,,,4,1,,,1,,1,,,,,,,,,3,,1,1,,,1,,,,,,,,,,,,,,,,1,,,3,,,,,1,,,,,25,8,3,12,,,3,,,,,,,,2,,,,90
76039,,,,,,,,,,2,,1,3,3,,,1,,1,,7,3,9,2,,,,,,4,,,8,2,,,,,2,,,,,,1,,,4,,,,,,,,1,,,,,,,,,,,,,1,,,,9,,,,,,,,,,55,17,5,24,,1,3,,1,1,1,,,,1,,,,173
76040,1,,,,,,,,,1,,,,2,5,,,,,,3,,9,3,,,,1,,5,,,2,,,,,,3,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,1,,5,,,,1,,,1,,,34,3,,12,,,2,,1,,1,,,,,,,,100
76041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
76043,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,2,1,1,,1,,,,,,,,,,,,,15
76044,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,2,,4,,,,,,,,,,,,,1,,19
76048,1,1,,,,,1,,,,1,,,1,,,1,,1,,3,,5,2,,,,,,2,,,5,1,,,,,1,,,,,,,,1,3,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,10,5,1,5,,,1,,,,,,,,,,1,,59
76049,2,,,1,,,,,,1,,,1,2,,1,4,,1,,2,,4,2,,,,1,,1,,,4,2,,,,,2,,,,1,,1,,,4,,,,,,,,2,,,,,,,2,,,,,1,,,,,2,,,,,,,2,,,18,10,4,12,,,2,,1,,,,,,1,,2,,96
76050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,1,,,1,,1,,,,,,,,,,10
76051,2,,,5,,1,1,,,4,4,,4,4,1,3,4,1,2,,29,,29,2,,,,3,,4,2,,13,7,,,,,2,1,1,,1,,,,,5,,3,,,,,,2,,,,,,,,,,,,,1,,,,18,,,4,2,,,,,2,128,42,17,52,1,3,4,,4,,6,,,1,1,,3,,429
76052,,,,,,,1,,,,3,,,5,,,2,,2,,,,14,3,,,,2,,2,,,9,8,,,,,1,,,1,,,,,,5,,,,,,2,,,,,,,,,,,,,,1,1,,1,,5,,,,,1,,1,,,45,15,3,25,,1,3,,2,1,4,,,,,1,1,,171
76053,,,,,,1,,,,,1,,1,3,,,,,,,3,,6,,,,,4,,1,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,1,,5,,,,,1,,,,,15,7,,6,,,2,,,,1,,,,,,,,63
76054,,,,,,,,,,1,,,2,4,,,,,,,4,,5,1,,,,1,,2,,1,2,1,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,17,9,2,9,,,,,,,,,,,1,1,,,77
76055,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,5
76058,,,,,,,,,,,,,,,,,,,,,1,,8,1,,,,,,1,,,4,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,1,,,,,,,,,,,,,,,29
76059,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,6
76060,,,,,,1,,,,1,,,,,,,1,,,1,2,,2,,,,,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,7,2,5,,,1,,,,1,,,,,,1,,37
76061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
76062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76063,,,,1,,2,1,,,1,3,,1,4,3,,4,,1,,5,1,14,2,,,,1,1,5,,,12,10,,,1,,4,,,,,,,,,1,1,,,1,,1,,2,,,,,3,,,,,,,1,,,1,,11,,,,1,4,,,,,88,29,22,45,,,4,,3,1,3,2,,,2,,4,,307
76064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2
76065,,,,,,,,,,3,4,,,1,2,1,,,,,7,1,8,2,,,,,,2,1,,6,1,,,,,2,1,,,,,,,,7,,1,,1,,1,,,,,,,,,,,,,,,,,2,,9,1,,2,1,1,,,,,35,19,12,16,,,6,,2,,4,1,,,,,,,163
76066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,2
76067,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,12
76068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
76070,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
76071,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,,,,,,,,,,,,,,9
76073,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,7
76077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
76078,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,15
76082,,,,,,,,,,,1,,,1,1,,,,,1,1,,4,1,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,6,2,1,,,1,1,,,,,,,,,,,,27
76084,,,,,,,,,,,,,1,,,,,,,,2,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,11,4,1,3,,,,,,,,,,,,,,,31
76085,,,,,,,,,,,,,,,1,1,,,,,1,,4,,,,,1,,,,,2,,,,,,,,,,,,,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,7,3,,3,,,2,,1,,,,,,,,,,33
76086,,,,,,,,,,,,,,,,,1,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,7,2,1,1,,,2,,,,,,,,,,,,25
76087,,1,,,,,,,,,2,,,2,,1,,1,1,,2,,6,4,,,,1,,,,,3,1,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,5,,2,,1,,,17,11,5,14,,1,4,,,,1,,,,,,1,,95
76088,1,,,,,,,,,1,,,,,,,,,1,,3,,8,1,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,6,5,,3,,,2,,,,,,,,,1,,,39
76089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76092,2,,,13,,3,4,,1,4,9,,3,8,7,2,16,,1,,7,,18,9,,,,1,1,3,,,5,14,,,,,5,,,,,,,,1,9,,,,,1,,,7,,,,1,1,,,1,,,,1,,,2,,13,2,,10,9,36,,,,,228,164,84,106,,3,8,,1,2,1,,,,,1,7,,835
76093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
76096,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
76102,,,,2,,1,,,,,4,,,2,2,,1,,,,4,,1,,,,,,,1,,,1,3,,,,,,,,,,,,,1,13,,,,,,,,1,,,,,1,,,,,,,,1,,,4,2,,,4,,11,,3,,,44,25,11,19,,1,2,,,,,1,,,,,2,,168
76103,,,,,,,,,,,,,,1,,1,,,,,2,,1,,,,,1,,,,,2,,,,,,2,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,2,1,2,,,,,,,1,,,,,,,,24
76104,,,,,,,1,,,,3,,,2,,,,,1,,1,,3,1,,,,,,1,,,1,1,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,4,,,1,,1,,,,,18,4,2,7,,,1,,,,,,,,1,,,,57
76105,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5
76106,,,,,,,,,,,,,,1,,1,,1,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,1,,,2,,,,,,,,,,,,16
76107,,,,,,,,,,2,7,,8,2,3,1,5,1,,,8,,7,1,,,,1,,,1,,3,,,,,,1,,,,,,,,,4,,,,,,,,2,,,,,1,,,,,,,2,1,,,,6,,,1,1,4,,1,,,63,39,12,28,,1,3,,,,2,,,,,1,1,,224
76108,,,,1,,,,,,,,,2,1,1,,2,,,,1,,8,2,,,,1,1,1,,1,6,2,,,1,,1,,,,,,,,1,3,,,,,,,,1,,,,,,,,,1,,,,1,,2,,6,,,,2,1,,1,,,43,13,3,20,,2,7,,1,,,,,,,1,,,141
76109,,,,2,,1,,,,2,1,,,1,1,1,6,,,,1,,6,4,,,,,,,1,,2,1,,,,,3,,,,,,,,2,1,,,,,,,,,,,,,,1,,,,,,,,,1,,2,1,,,,1,,,,1,71,32,8,27,,1,2,,2,,1,,,,,,4,,191
76110,1,,,,,,,,,1,1,,1,,,,1,,,,1,,1,3,,,,,,1,,,1,2,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,14,7,2,9,,,2,,1,,2,,,,1,2,3,,66
76111,,,,,,1,,,,,1,,1,,,,,,,,6,1,3,1,,,,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,4,,,,,,,,,,12,2,3,4,,,,,,1,,,,,,,,,48
76112,,,,1,,,,,,,3,,1,1,,,1,,,,3,,7,3,,,,1,,,,,4,2,,,,,,,,,,,,,,4,,1,,,,1,,,,,,,,,,,,,,,2,,,,5,1,,,,,,1,,,16,2,1,5,,,1,,,,,,,,,,,,67
76114,,,,1,,,,,,,1,,,3,1,,,,,,,,1,,,,,3,,,,,3,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,,,10,8,1,6,,,1,,1,,2,,,,,,,,48
76115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,8
76116,1,,,1,,,,,,1,1,,3,,1,,4,,,,7,,12,2,,,,3,,2,,,3,2,,1,,,,,,,,,,,,1,,,,,1,,,3,,,,,1,,,,,,,,2,,1,,7,,,2,,2,,,,,28,12,7,16,,,2,1,1,,,,,,1,1,1,,134
76117,,,,,,,,,,,1,,,1,,,,,,,1,,1,,,,,2,,1,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,7,2,2,2,,,,,,,,,,,,,,,28
76118,,,,,,,,,,,1,,,,,1,2,1,,,2,,10,2,,,,,,,,,2,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,22,4,,4,,,1,,,,1,,,,,,,,58
76119,,,,,,,,,,1,1,,1,,2,,,,,,,,3,,,,,,,1,,,3,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,20
76120,,,,,,,,,,1,,1,,,3,,,,,,,,3,1,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,1,1,,,,,,18,4,1,8,,1,,,1,,,,,,,,,,52
76123,1,,,,,,,,,3,,1,,1,,,3,1,,,6,,10,2,,,,1,,,,1,3,1,,,,,1,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,1,,,5,,,,1,1,,,,,46,10,4,14,,,2,,,,2,,,,,,,,124
76126,1,,,1,,,,,,1,2,1,1,1,,2,1,,,,2,,3,1,,,,1,,3,,,3,3,,1,,,1,,,,,,2,,3,2,,,,,1,,,,,,,,,,,,,,,,1,1,2,,3,,,,2,6,,,,,40,23,12,29,,1,,,1,,1,,,,,1,2,,162
76127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2
76129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
76131,,,,3,,,,,,4,5,,1,1,,1,2,1,,,6,,8,3,,,,2,,5,,,4,2,,,,,1,,,,,,,,,3,1,1,,,,,,1,,,,,1,1,2,,2,,,,,,,,13,1,,1,,1,,,,,73,13,3,32,,1,6,,,1,,,,,,1,1,,208
76132,,,,2,,,,,,3,1,,1,2,,,7,,,,1,1,6,1,,,,,,,,,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,1,,,1,,7,1,,1,1,2,,,,1,37,22,10,20,,,3,,2,1,1,,,,1,1,1,,149
76133,,,,,,,,,,,,,1,4,1,1,,,,,9,,19,3,,,,,,3,,1,5,1,,,1,,,,,,,,1,,,1,,3,,,1,1,,1,,,,,,,,,,,,,1,1,,,10,,,,,,,2,,,21,8,,9,,2,4,,,1,,,,,,,,,116
76134,,,,,,,,,,,,,,,,,,,,,2,,5,2,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,4,2,1,,,,,,,,,,,,,,,28
76135,,,,1,,,,,,1,,,1,,,,1,,,,3,1,4,2,,,,1,,,,1,4,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,13,5,1,7,,2,,,,,,,,,1,,,,55
76137,,,,1,,,,,,2,1,,,2,1,1,1,,1,,6,,15,5,,,,2,,2,,1,6,2,,,,,4,,1,,,,,,,4,1,3,1,,,,,,,,,,1,,,,,,,,,,2,,11,1,,,1,,,1,,,48,13,6,22,,,5,,2,,3,,,,,,1,,180
76140,,,,,,,,,,1,1,1,1,2,,,1,,1,,1,,2,1,,,,,,,,,4,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,9,4,,3,,,1,,,,1,,,,,,,,41
76148,,,,,,,,,,,,,1,1,,,,,1,1,2,,3,1,,,,1,,4,1,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,1,,,13,3,,1,,2,,,,,,,,,,,,,44
76151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
76155,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,3,1,,,,,,,,,,,,,,,,,10
76161,,,,,,,,,,,,,,,,,,,,,1,,,14,,,,3,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,83
76164,,,,,,,,,,,,,1,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,10
76177,,,,2,,,,,,,2,,2,,,,,,,,3,,10,1,,,,2,,1,,1,3,3,,,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,37,12,5,9,,,1,,,,,,,,1,,1,,103
76179,,,,,,,,,,2,3,,1,1,,,2,1,1,,9,1,13,,,,,3,,4,,,9,2,,,,,4,,,,1,,,,,7,,2,2,,,1,,,,,,,,,,,,,,,1,,1,,11,,,,1,2,,,,,70,25,8,28,,2,5,,1,,4,,,,3,3,2,,236
76180,1,,,1,,,1,,,,1,,1,1,,1,,,,1,5,,11,1,,,,,,4,,2,3,,,,1,,1,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,2,,,,,37,3,2,17,,1,3,,,,,,,,,,,,107
76182,1,,,,,,1,,,1,4,,1,,2,1,1,1,,,5,1,13,3,,,,,,2,,,4,2,,,,,3,,,,,,,,,3,,,2,,1,,1,,,,,,,,,,,,,,,1,2,,6,,,1,2,,,1,,,48,19,5,13,,,4,,,,3,,2,,,1,3,,164
76185,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2
76196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
76201,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,1,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,5,,,,,,,,,,8,3,1,3,,2,3,,1,,1,,,,,,,,42
76205,,,,,,,,,,,,,1,,1,,1,,,,4,,1,2,,,,,,,,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,8,,,,,2,,,,,10,3,1,8,,,2,,,,,,,,1,,,,52
76207,,,,1,,1,,,,1,2,,1,2,,1,2,,,,4,,6,2,,,,1,,1,,,3,,,,,,1,,,,,,,,1,1,,,2,,,,,,,,,,,,,1,,,,,1,,1,,6,,,,1,,,,,,13,4,4,11,,1,1,,,1,,2,,,1,1,4,,86
76208,,,,1,,,,,,,1,,,,,,,,,,2,,6,1,,,,,,,,,5,6,,,,,3,,,,,,1,,,5,,,,,2,,,2,,,,,,,,,,,,,,,1,,6,,,,1,,,,,,31,10,1,9,,,3,,4,,,,,,1,,1,,103
76209,1,,,,,,,,,1,,,1,1,,,2,,,,5,1,7,,,,,,,,,,4,1,,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,1,,12,,,,,,,1,,,16,4,,5,,,,,,1,,,,,,,,,68
76210,1,,,4,,,,,,1,3,,,3,2,,1,,,,10,,11,9,,,,3,,7,1,2,15,5,,,,,,,,,,,,,,2,,,2,,,,,1,,,,1,,,1,,,,,,,1,1,,11,1,,,1,1,,2,,,53,26,6,25,,1,5,,2,,1,1,1,,2,,,,226
76225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2
76226,,,,4,,2,1,,,2,,1,4,1,2,,10,1,,1,6,,10,12,,,,2,,2,,,8,4,,,,,5,,,1,1,,,,,13,,2,,2,1,,,2,,,,1,,,,1,1,,,,,,1,,13,2,,1,2,3,1,1,,,130,49,20,83,,1,5,1,,1,4,1,,,2,1,8,,433
