Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q5 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Azure Transit Connect,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW i3,BMW i3 REx,BMW i4,BMW i8,BMW iX,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Genesis GV60 EV,Honda Accord Plug In,Honda Clarity BEV,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lexus NX 450h+,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75044,,,,1,5,1,,,1,2,,,1,3,2,,3,,,,,,2,5,,11,2,,,,2,,3,,,,,3,5,,,,,1,,4,,2,,,,,,,,4,,1,,,,1,2,,3,,,1,,,,,,,,,,,,,1,,16,3,,1,,1,,,,,,,,107,21,14,41,,,6,1,1,4,,1,,,,2,1,2,,,294
75045,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75046,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75048,1,,,1,2,,,,,,,,2,1,2,,1,,,,,,1,4,,11,2,,,,2,,,1,,,,4,3,,,,,,,4,,1,,,,,,,,2,,3,2,1,,,,,1,,1,,,,,,,,,,,,,,,,8,1,,,,2,,1,,,,,,65,20,14,33,,1,4,,3,1,,,,,,,1,,,,207
75050,,,,1,,1,,,1,2,,,,,2,,,,,,,1,2,3,,6,,,,,2,,2,,1,,,2,4,,,,,,,2,,,,,,,,,,,,1,,,,2,,,,,,,,,1,,,,,,,,,,,,3,,,1,,2,,,,,,,,25,13,3,3,,,1,,,,,,,,,,,,,,87
75051,,,,3,2,,,,1,2,,,2,5,3,,,,,,1,,,3,,12,,,,,1,,3,,,,,6,2,,,,,,,,,,,,,,1,,,2,,,1,,1,,,,,2,,,,2,1,,1,,,,,,,,,,3,1,,2,2,,,,,,,,,38,27,12,22,,3,4,,,1,1,,1,1,,,,1,,,176
75052,,,,,1,,,,12,8,,,3,1,2,,5,,,,1,1,3,6,,11,5,,,,,,2,,,,1,7,4,,,,,,,1,,,,,2,,,,,8,,1,1,,,1,,,,,,,,,1,,,,1,,,,,,,,15,2,,,,3,,,3,,,,,97,32,15,43,,,9,,1,3,,,,,,,,1,,,313
75054,,,,,3,1,,,3,2,,1,1,,1,3,3,,,,,,1,,,7,4,,,,,,1,,,,1,1,1,,,,,,,3,,1,,,,,,,,3,,2,2,1,,,,,1,,,,,,,,2,,,,,,,,,,11,1,,1,1,1,,,,,,,,65,24,18,32,,,3,,,1,1,1,,,,,,,,,209
75055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75056,1,,1,3,8,2,1,,5,10,2,,7,2,4,,4,,,,1,1,1,12,1,30,13,,,,1,,7,1,,,,7,20,,,1,,,,3,,,,,,,1,,,13,,6,1,1,,,1,,5,1,,,,,1,2,,,,,,1,,2,,,27,1,,6,3,15,,3,3,,,,,251,77,55,185,,2,9,,5,8,,,,1,,2,5,7,,,849
75057,,,,,,,,,2,1,,,,,,,1,,,,,,,1,,4,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,8,,,,,,,,,,,,,13,8,2,6,,,2,,1,1,,,,,,,,,,,57
75058,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5,5,1,6,,,2,,,,,,,,,,,,,,32
75059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
75060,,,,,,,,,1,1,,,,,1,,,,,,,,,3,,6,,,,,1,,1,,,,,1,1,,,,,,,1,,1,,,,,2,,,2,,,1,3,,,1,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,23,5,4,15,,,4,,,,,,,,,1,,,,,83
75061,1,,,1,,,,,1,2,,,2,,1,,,,,,,1,1,,,7,,,,,,,1,1,,,,2,,,,,,,,2,,,,,,,,,,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,17,7,2,11,,,2,,1,1,1,,,,,,,,,,76
75062,,,,,,1,,,1,3,,,4,1,1,,,,1,,,,2,6,,7,3,,,,1,,2,,,,,,2,,,,,,,,,1,,,,,,,,1,,1,,2,,,,,,,,,,,1,,,,1,,,,1,,,,7,,,2,,4,,1,,,,,,44,11,5,14,,1,1,,2,1,,,,,,1,1,2,,,140
75063,,,,1,7,2,,,6,6,,4,11,3,8,3,,1,,,1,1,,8,1,9,21,,,,6,,1,1,5,,,2,11,,,,,,,4,,1,,2,,,,,,8,,2,2,,,1,,,1,,,2,,,1,1,,,,,,,3,1,,,25,4,,7,5,7,,1,,,,,,285,69,55,200,,3,13,,7,10,,1,,,,4,3,2,,,849
75065,,,,,,,,,,,,,,,,,,,,,,,,2,,4,1,,,,,,1,1,1,2,,2,4,,,,,,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,1,,1,,,,,,15,12,3,9,,,1,,,,,,1,,,,1,,,,72
75066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75067,,,,1,3,,,,2,,,,3,3,2,,,,,,,,,9,,9,2,,,,3,,7,3,,,1,5,4,,,,,,,6,,2,,,,,,,,2,,1,2,,,,1,,,2,1,,,1,1,2,,,,,,1,,1,2,,16,3,,1,,,,,,,,,,89,26,9,42,,1,2,,2,1,2,,,,,,1,,,,277
75068,,,,1,6,,1,,6,8,1,1,4,1,8,1,4,,,,,1,,5,1,26,11,,,,5,1,4,,2,1,1,12,20,,,,,,,1,,6,1,,1,,,,,15,,5,3,,,,1,,2,1,1,,,,3,,1,,,,,1,,,1,,20,5,,3,2,3,,2,,,,,,188,43,19,139,,2,7,,2,8,2,,,,,2,4,3,,,629
75069,,,,,3,1,4,,1,1,,,1,2,3,,3,1,,,,,,4,,12,,,,,2,,1,2,,,,3,5,,,1,,,,2,,2,,,,,,,1,7,,1,,1,,1,,1,1,1,,,,,,1,,,,,,1,,,,,7,1,,,2,1,,2,1,,,,,71,49,18,44,,,4,,2,2,1,,,1,,2,3,,,,281
75070,1,,,2,6,,2,,7,7,,2,10,3,6,,3,2,,,3,,2,16,,33,20,,,,2,2,8,1,,,1,16,12,,,,,,,11,2,4,,,1,,,,2,12,,4,2,1,,1,,,2,1,,,,1,1,2,1,,,,,,1,1,,,21,3,,4,1,4,,3,,,,,,269,81,33,179,,4,8,1,3,4,,,,,,5,6,8,,,854
75071,,,,2,8,1,2,,7,8,,1,4,3,5,1,5,1,,,,,4,7,,19,14,,,,5,1,6,1,,1,,10,17,,,,,,,11,,3,1,,,,,1,1,8,,8,5,1,,3,1,,1,3,,,,1,2,,1,1,1,,,,1,3,1,,15,3,,4,2,3,,1,2,,,,,233,52,26,154,,1,10,,2,10,1,,,,,2,1,6,,,719
75072,1,1,,1,11,1,2,,7,5,,1,3,1,7,1,3,1,,,,,3,9,,8,14,,,,2,,5,,,2,1,7,7,,,,,,,4,1,1,,,,,1,,1,8,,,1,,,1,1,1,2,2,,,,,,,,,,,,1,3,,1,,13,1,,,4,3,,,,,,,,169,48,12,84,,1,11,,4,2,,,,,,2,1,7,,,495
75074,,,,1,3,,,,2,1,,,5,1,1,,,,,,,1,3,7,1,18,,,,,4,,7,,,,1,7,4,,,,,,,5,,4,,,,,,,1,4,,1,1,,1,,1,,,1,1,,,,1,,,,,,,,,3,1,,24,2,,,1,6,,1,,,,,,115,35,18,56,,1,5,,6,5,3,1,,,,1,1,2,,,375
75075,,,,2,4,,1,,2,4,,,6,2,2,1,1,,,,1,1,,22,1,14,6,,,,2,1,2,1,1,,,7,6,,,,,,,5,1,2,,1,,,,,,1,,2,2,1,,,1,,1,1,,,,,1,,,,,,,1,,2,1,,24,4,,2,,,,,1,,,,,90,28,12,46,,2,8,,,2,5,,,,,1,1,1,,,340
75076,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,1,,,,,,,,,5,5,1,6,,,,,,1,,,,,,,,,,,34
