Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga Hybrid,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i4,BMW i8,BMW iX,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75040,,,,1,,,,,,1,1,,1,2,,,,,3,,,,6,1,16,2,,,,1,,1,,,,,4,1,,,,,3,,,,,1,,,,,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,1,,,,52,9,1,12,,2,1,,2,,5,,,,,,,,,,145
75041,,,,,,,,,,,,,,2,,2,,,,,1,,3,,3,2,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,4,2,1,3,,,1,,,,,,,,,,,1,,,35
75042,,,,,,,,,,,,,2,1,,,,,,,,1,,,4,1,,,,,,,,,,,3,3,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,18,6,1,7,,1,3,,,,,,,,,1,,,,,58
75043,,,,,,,,,,1,3,,1,4,,,,,,1,1,1,5,,7,4,,,,1,,2,,,,,3,2,,,,,1,,,,,,,,,,3,,2,1,1,,,,,,,,,,,,,,,,,,,1,1,,8,,,,,2,,,,,,45,14,6,26,,,4,,,,1,,,,,,,1,,,153
75044,,,,5,,,1,,,1,2,,3,2,,4,,,1,,,1,5,,11,2,,,,2,,3,,,,,3,4,,,,1,4,,2,,,,,,,,3,,1,,,,,2,,,,1,,,,,,,,,,,,1,,,16,2,,1,,1,,,,,,100,19,12,32,,,8,1,1,,3,,,,,2,1,2,,,266
75045,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75046,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75048,1,,,2,,,1,,,,,,1,2,,1,,,2,,,,4,,10,3,,,,2,,,,1,,,4,3,,,,,4,,,,,,,,,,2,,2,2,,,,,,,1,,,,,,,,,,,,,,,,9,1,,,,1,,,,,,64,16,12,28,,2,4,,3,,1,,,,,,1,,,,190
75050,,,,,1,,1,,,1,2,,,1,,,,,,,1,,3,,7,,,,,2,,2,1,,,,2,4,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,4,,,1,,2,,,,,,25,12,2,2,,,1,,,,,,,,,,,,,,81
75051,,,,1,,,2,,,,2,,5,3,,,,,1,,,,3,,9,,,,,1,,2,,,,,6,1,,,,,,,,,,,,1,,,2,,,,,1,,,,1,,,,2,1,,1,,,,,,,,,,4,1,,1,2,,,,,,,35,23,12,12,,2,3,,,1,1,,,,,,,1,,,143
75052,,,,1,,,,,,12,7,,1,2,,5,,,3,1,1,2,6,,12,4,,,,,,3,,,,1,7,3,,,,,1,,,,,2,,,,,7,,1,1,,,1,,,,,,,,1,,,,1,,,,,,,,16,2,,,,3,,2,,,,96,30,12,38,,,9,,1,,3,,,,,,,1,,,299
75054,,,,2,,,1,,,3,2,,,1,1,3,,1,1,,,1,,,6,3,,,,,,1,,,,1,1,1,,,,,3,,1,,,,,,,,3,,1,2,1,,,,,,,,,,,,2,,,,,,,,,,11,1,,1,1,1,,,,,,57,23,19,25,,,3,,,1,1,,1,,,,,,,,187
75055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
75056,1,,1,4,1,1,2,,,4,10,2,2,5,,4,,,6,1,1,,12,1,28,15,,,,1,,7,,,,,7,17,,,1,,3,,,,,,,1,,,11,,3,1,1,,,1,,1,,,,,1,,,,,,,1,,,2,,27,1,,5,3,13,1,3,,,,240,74,54,164,,2,9,,3,,5,,,1,,2,4,7,,,778
75057,,,,,,,,,,2,1,,,,,1,,,,,,,1,,3,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,,,12,8,2,5,,,1,,1,,1,,,,,,,,,,53
75058,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,5,1,5,,,1,,,,,,,,,,,,,,25
75059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
75060,,,,,,,,,,1,1,,,1,,,,1,,,,,4,,6,,,,,1,,1,,,,,1,1,,,,,1,,1,,,,,2,,,1,,,1,3,,,1,,,,,,,,,,,,,,,1,,1,,3,,,,,,,,,,,21,5,4,13,,,4,,,,,,,,,1,,,,,81
