Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga Hybrid,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW iX,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Workhorse E-GEN Van,Grand Total
75028,,,,5,1,2,4,,,7,11,1,2,8,1,,,2,1,2,,19,2,21,6,,,,4,,9,,,,11,10,,,,,2,1,,,,1,,1,,1,9,,1,3,,1,,1,,,,,,,,1,,,1,,,,2,,1,,26,3,,3,4,2,,,,,,163,59,20,69,,3,5,1,,,3,,,1,,2,,6,,525
75029,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4
75032,,,,2,1,,,,,2,2,,2,5,,,,3,,2,1,6,1,9,8,,,,1,,3,,,,6,10,,1,1,,2,,1,,,,,,,,7,1,,1,1,,1,,,4,1,,,,,,,,,,,,1,,,,7,1,,2,4,7,,,,,,67,48,27,33,,1,6,,,1,3,,,,,,,2,,295
75033,,,,5,,2,2,,,5,6,1,5,3,3,,1,7,,,,4,,13,9,,,,2,,3,,,,10,9,,,1,,10,,1,,,,,,,1,11,1,1,,,1,2,,,2,,,,1,2,,1,,2,,,,1,,,,12,3,,6,4,8,,,,,,202,97,58,146,1,3,3,1,5,1,6,,,,,,3,4,,691
75034,3,1,1,13,2,4,1,,1,12,16,1,4,8,8,,2,20,,,,5,2,14,10,,,,2,1,4,,,2,9,10,,,,,8,1,1,,,,,,,3,17,,,2,1,,,,,3,,,,,1,4,1,,,,,1,1,,,,31,2,,8,6,20,,,,,,290,157,83,159,1,8,13,,4,2,5,,,1,,1,2,14,,1007
75035,1,,,18,,3,3,,,7,19,2,7,10,5,,2,29,,1,1,20,1,33,25,,,,7,,6,,,1,12,19,,,,,8,,1,,3,,,1,,1,12,,3,2,1,,2,,,3,,1,,1,1,3,1,,,,,2,3,,4,,52,4,,5,3,12,1,,,,,553,138,93,283,2,12,19,,3,5,9,,1,,,3,2,7,,1492
75036,2,,,5,1,,1,,,4,6,1,3,5,,,1,5,,,,4,,9,4,,,,2,,,,,,4,9,,,,,4,,,,,,,,,,3,,1,,1,,,,,2,,,,,,,,,,,,,,,1,,7,1,,5,2,3,,,,,,208,38,43,126,,1,9,,2,,7,,1,,,,,9,,540
75037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
75038,1,,,,,,1,,,,2,,2,2,3,,,3,,,,8,,4,198,,,,1,1,3,,,,,1,,,,,1,,,,,,,,,,2,,,11,,,,,,,,,,,1,,,,,,,,,,10,,11,71,,2,1,10,,,,,,56,21,19,32,,,1,,1,,1,,,,,,,2,,483
75039,,,,6,,1,,,,8,6,,3,,2,,1,4,1,1,1,1,,13,6,,,,2,1,,1,,,2,5,,,,,2,,1,,,,,,,,2,,,1,,,,1,1,1,,,,,1,,,,,,,,1,,2,,6,,,5,,3,,,,,,141,46,25,67,1,1,5,,1,,2,,,,,,2,1,,384
75040,,,,1,,,,,,,1,,1,3,,,,3,,,,6,1,16,2,,,,1,,1,,,,4,1,,,,,3,,,,,1,,,,,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,1,,,,46,9,1,11,,2,1,,2,,5,,,,,,,,,139
75041,,,,,,,,,,,,,,2,2,,,,,1,,3,,2,2,,,,2,1,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,4,2,1,3,,,1,,,,,,,,,,,,,34
