,Fuel Type Code,City,State,ZIP,Groups With Access Code,Latitude,Longitude
49453,ELEC,Dallas,TX,75204,Private,32.797956,-96.799705
49622,ELEC,Dallas,TX,75254,Public,32.9435587,-96.8229379
49753,ELEC,Dallas,TX,75219,Public,32.805955,-96.805674
49934,ELEC,Dallas,TX,75212,Public,32.7775001,-96.8309309
50154,ELEC,Dallas,TX,75201,Public,32.7901241,-96.8035094
50427,ELEC,Dallas,TX,75201,Public,32.784001,-96.799198
50428,ELEC,Dallas,TX,75201,Public,32.784137,-96.799393
51192,ELEC,Dallas,TX,75254,Public - Credit card at all times,32.9529579853803,-96.8236362294615
51261,ELEC,Dallas,TX,75204,Public,32.807385,-96.794529
51262,ELEC,Dallas,TX,75204,Public,32.807445,-96.794601
51417,ELEC,Dallas,TX,75202,Public,32.778679,-96.799669
51563,ELEC,Dallas,TX,75201,Public,32.797347,-96.805923
51629,ELEC,Dallas,TX,75209,Public,32.833148,-96.829596
52264,ELEC,Dallas,TX,75201,Public,32.80017,-96.80479
52341,ELEC,Dallas,TX,75202,Public,32.788943,-96.805579
52566,ELEC,Dallas,TX,75231,Public - Credit card at all times,32.867639,-96.767245
52692,ELEC,Dallas,TX,75204,Public,32.8095625,-96.7933303
53567,ELEC,Dallas,TX,75204,Public,32.809532,-96.794158
54967,ELEC,Dallas,TX,75235,Public,32.827446,-96.846656
54968,ELEC,Dallas,TX,75235,Public,32.827844,-96.847269
54976,ELEC,Dallas,TX,75231,TEMPORARILY UNAVAILABLE (Public),32.8776147,-96.7327995
55302,ELEC,Dallas,TX,75201,Public,32.79232,-96.795444
55592,ELEC,Dallas,TX,75287,Public,33.0039587,-96.8283586
56105,ELEC,Dallas,TX,75225,Public,32.861156,-96.80556
56256,ELEC,Dallas,TX,75203,Public,32.748014,-96.813711
56257,ELEC,Dallas,TX,75203,Public,32.747481,-96.813679
56258,ELEC,Dallas,TX,75203,Public,32.748014,-96.813701
56471,ELEC,Dallas,TX,75202,Public,32.778909,-96.806958
57653,ELEC,Dallas,TX,75201,Public,32.797348,-96.805951
58185,ELEC,Dallas,TX,75208,Public,32.749876289,-96.82332714
58363,ELEC,Dallas,TX,75231,Public - Credit card at all times,32.87054082,-96.7692372112234
58364,ELEC,Dallas,TX,75231,Public - Credit card at all times,32.8700459288745,-96.769099349525
58365,ELEC,Dallas,TX,75231,Public - Credit card at all times,32.8687741997213,-96.7678891427517
58449,ELEC,Dallas,TX,75240,Private,32.927983,-96.818709
58798,ELEC,Dallas,TX,75254,Public,32.9412834,-96.8195667
59075,ELEC,Dallas,TX,75226,PLANNED - not yet accessible (Public),32.782974,-96.776506
59144,ELEC,Dallas,TX,75232,Public,32.642868,-96.849894
59273,ELEC,Dallas,TX,75219,Public,32.805956,-96.805681
60306,ELEC,Dallas,TX,75287,Public,32.993825,-96.845936
60309,ELEC,Dallas,TX,75287,Public,33.000176,-96.866727
60359,ELEC,Dallas,TX,75201,Public,32.776026,-96.795991
60438,ELEC,Dallas,TX,75201,Public,32.795784,-96.801462
60701,ELEC,Dallas,TX,75240,Public,32.9357398,-96.8191899
62049,ELEC,Dallas,TX,75218,Public,32.8322222,-96.7049162
62248,ELEC,Dallas,TX,75201,Public,32.779853,-96.794503
62537,ELEC,Dallas,TX,75238,Public,32.8642076,-96.7038743
63726,ELEC,Dallas,TX,75207,Public - Credit card at all times,32.767263,-96.807846
64009,ELEC,Dallas,TX,75238,Public - Credit card at all times,32.8788782,-96.6853215
64399,ELEC,Dallas,TX,75253,Public,32.702628,-96.585952
64413,ELEC,Dallas,TX,75218,Public,32.838897,-96.697156
64425,ELEC,Dallas,TX,75206,Public,32.836017,-96.76808
64427,ELEC,Dallas,TX,75219,Public,32.809635,-96.808726
64431,ELEC,Dallas,TX,75254,Public,32.954462,-96.819108
65100,ELEC,Dallas,TX,75229,Public,32.901518,-96.834891
